Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
09-01-2012,225.949997,228.550003,223,227.850006,213.298676,4231968,
10-01-2012,230,231.149994,228,229.850006,215.170975,4491386,
11-01-2012,230.25,232,227.5,231.324997,216.551743,3859556,
12-01-2012,230.850006,234.550003,230.600006,233.324997,218.424026,3987722,
13-01-2012,235,236.524994,230.524994,234.800003,219.804825,3690842,
16-01-2012,233.399994,233.925003,229.125,230.25,215.54541,3191710,
17-01-2012,231.949997,234.5,231.5,234.199997,219.243149,3661008,
18-01-2012,236.449997,242.699997,234.800003,240.949997,225.562073,10068622,
19-01-2012,243,245.125,240.149994,243.399994,227.855606,8421088,
20-01-2012,245,246.725006,240.225006,245.274994,229.610855,7195130,
23-01-2012,243,243.875,240.449997,242,226.545013,3766864,
24-01-2012,242.625,246.550003,240.274994,244.399994,228.791733,7531976,
25-01-2012,245.125,246.5,242.875,245.100006,229.447052,7409550,
27-01-2012,251.949997,252,239.824997,242.100006,226.638626,7438818,
30-01-2012,241.475006,241.5,236.5,239.524994,224.228058,4987508,
31-01-2012,241.75,247.5,239.925003,246.050003,230.336349,5326924,
01-02-2012,247.25,249.850006,240.675003,248.574997,232.700119,6010298,
02-02-2012,249.5,250,245.649994,248.949997,233.051163,11420854,
03-02-2012,248.75,254,247.625,253.125,236.959534,7457502,
06-02-2012,255,258,250,253.850006,237.638245,8719312,
07-02-2012,257,257.700012,254,254.649994,238.387131,6037854,
08-02-2012,255.350006,258.899994,251.375,254.225006,237.989304,6930574,
09-02-2012,252.850006,262.975006,252.824997,261.274994,244.58905,8680512,
10-02-2012,261.399994,262.825012,257,258.75,242.225296,5757586,
13-02-2012,259.325012,262.5,257.950012,260.975006,244.308197,7307162,
14-02-2012,261.25,261.899994,257.524994,258.950012,242.412552,6557414,
15-02-2012,260.25,267.450012,258.625,266.524994,249.503723,9689792,
16-02-2012,265.5,268.924988,261.625,263.225006,246.414505,4062132,
17-02-2012,265.625,266.5,260.049988,264.149994,247.280457,7109824,
21-02-2012,263,266.75,260.25,266.024994,249.035721,7415568,
22-02-2012,265,269.450012,263.325012,265.725006,248.754822,6961554,
23-02-2012,263.600006,267.975006,263.600006,266.575012,249.550568,8547874,
24-02-2012,263.600006,267.700012,257.674988,262.325012,245.572037,8190084,
27-02-2012,263.450012,265.725006,256.075012,257.799988,241.335968,7660646,
28-02-2012,259.625,266.700012,256.600006,265.25,248.310181,7400574,
29-02-2012,266.950012,269.950012,256.674988,258.549988,242.038055,9994318,
01-03-2012,258.5,261.149994,252.649994,257,240.587067,6099246,
02-03-2012,257,262.5,253.875,259.375,242.810379,4058348,
05-03-2012,260,260.475006,252.774994,255.475006,239.159454,5025686,
06-03-2012,254.899994,260.5,251.625,253.699997,237.497803,5798594,
07-03-2012,253.425003,259,248.774994,257.825012,241.35936,3788818,
09-03-2012,261,263.5,259.825012,261.600006,244.893295,4657522,
12-03-2012,267,267.25,258.5,259.475006,242.904007,5608692,
13-03-2012,261.5,263.75,260.174988,262.200012,245.455017,5539714,
14-03-2012,264.049988,265,260.725006,264.100006,247.233643,5860562,
15-03-2012,264,265,254.524994,255.399994,239.089249,7469598,
16-03-2012,255,262.450012,252.5,253.925003,237.708435,6405304,
19-03-2012,255.024994,255.024994,247.550003,249.425003,233.495834,7649884,
20-03-2012,248,255.425003,246.5,252.699997,236.561691,3162136,
21-03-2012,251.5,258.924988,251.5,257.825012,241.35936,6010786,
22-03-2012,256.950012,261.200012,250.050003,252.125,236.023422,5640032,
23-03-2012,254.75,259.375,250.475006,256.975006,240.56369,4023582,
26-03-2012,256.75,258.25,252.824997,255.824997,239.487122,4916458,
27-03-2012,257.5,260.899994,256,259.424988,242.857178,5928676,
28-03-2012,259.25,259.25,255.024994,256.725006,240.329636,4349746,
29-03-2012,254,257.049988,252.5,255.050003,238.761581,8112558,
30-03-2012,256,261.924988,254.875,259.924988,243.325256,5592488,
02-04-2012,259,264.975006,258.049988,264.174988,247.303848,2765466,
03-04-2012,266.5,268.200012,264,265.100006,248.1698,6460406,
04-04-2012,262.625,264.5,262.200012,263.274994,246.461319,2087538,
09-04-2012,261.875,263.149994,260,260.875,244.2146,2518370,
10-04-2012,261.700012,263,257.924988,262.424988,245.665588,2917036,
11-04-2012,260.924988,265.475006,258.549988,263.225006,246.414505,3731624,
12-04-2012,262.5,267.25,262.149994,265.200012,248.263397,6051644,
13-04-2012,268.200012,268.875,261.950012,264.674988,247.771912,4916714,
16-04-2012,264.450012,265.5,262.049988,264.875,247.959122,8698042,
